DATE,TICKER,PRC,SHROUT,CFACPR,SPRTRN
2/19/20,PG,125.44,2469453,1,0.004706
2/20/20,PG,126.58,2469453,1,-0.003816
2/21/20,PG,126.7,2469453,1,-0.010518
2/24/20,PG,123.3,2469453,1,-0.033514
2/25/20,PG,121.43,2469453,1,-0.03028
2/26/20,PG,120.16,2469453,1,-0.003779
2/27/20,PG,113.5,2469453,1,-0.044163
2/28/20,PG,113.23,2469453,1,-0.008238
3/2/20,PG,119.56,2469453,1,0.046039
3/3/20,PG,118.17,2469453,1,-0.028108
3/4/20,PG,124.5,2469453,1,0.042203
3/5/20,PG,121.63,2469453,1,-0.033922
3/6/20,PG,121.66,2469453,1,-0.017054
3/9/20,PG,116.06,2469453,1,-0.07597
3/10/20,PG,120.55,2469453,1,0.049396
3/11/20,PG,111.59,2469453,1,-0.048868
3/12/20,PG,101.84,2469453,1,-0.095113
3/13/20,PG,114.07,2469453,1,0.092871
3/16/20,PG,108.5,2469453,1,-0.119841
3/17/20,PG,118.24,2469453,1,0.059955
3/18/20,PG,117.45,2469453,1,-0.051831
3/19/20,PG,110.83,2469453,1,0.004708
3/20/20,PG,102.43,2469453,1,-0.04336
3/23/20,PG,97.7,2469453,1,-0.029294
3/24/20,PG,103.27,2469453,1,0.093828
3/25/20,PG,100.92,2469453,1,0.011535
3/26/20,PG,107.38,2469453,1,0.062414
3/27/20,PG,110.17,2469453,1,-0.033687
3/30/20,PG,115,2469453,1,0.033516
3/31/20,PG,110,2469453,1,-0.016013
4/1/20,PG,109.33,2469453,1,-0.044142
4/2/20,PG,114.4,2469453,1,0.022829
4/3/20,PG,115.08,2469453,1,-0.015137
4/6/20,PG,117.81,2469453,1,0.070331
4/7/20,PG,112.77,2469453,1,-0.001603
4/8/20,PG,115.1,2469453,1,0.034056
4/9/20,PG,114.66,2469453,1,0.014487
4/13/20,PG,115.95,2469453,1,-0.010105
4/14/20,PG,120.96,2469453,1,0.030573
4/15/20,PG,121.22,2469453,1,-0.02203
4/16/20,PG,121.5,2469453,1,0.005817
4/17/20,PG,124.69,2469453,1,0.026794
4/20/20,PG,120.6,2469453,1,-0.017881
4/21/20,PG,119.68,2469453,1,-0.030675
4/22/20,PG,119.4,2469453,1,0.02293
4/23/20,PG,119.4,2469453,1,-0.000539
4/24/20,PG,118.78,2469453,1,0.013918
4/27/20,PG,117.45,2469453,1,0.014714
4/28/20,PG,116.89,2469453,1,-0.005242
4/29/20,PG,117.08,2469453,1,0.026584
4/30/20,PG,117.87,2475643,1,-0.009212
5/1/20,PG,116.82,2475643,1,-0.028059
5/4/20,PG,115.77,2475643,1,0.00425
5/5/20,PG,116.01,2475643,1,0.009041
5/6/20,PG,113.1,2475643,1,-0.006979
5/7/20,PG,112.17,2475643,1,0.011505
5/8/20,PG,115.95,2475643,1,0.016872
5/11/20,PG,115.31,2475643,1,0.000177
5/12/20,PG,114.55,2475643,1,-0.020544
5/13/20,PG,113.92,2475643,1,-0.017463
5/14/20,PG,113.81,2475643,1,0.011525
5/15/20,PG,114.61,2475643,1,0.003926
5/18/20,PG,116.21,2475643,1,0.031501
5/19/20,PG,112.44,2475643,1,-0.010484
5/20/20,PG,113.28,2475643,1,0.016651
5/21/20,PG,111.62,2475643,1,-0.007774
5/22/20,PG,112.6,2475643,1,0.002354
5/26/20,PG,112.03,2475643,1,0.012289
5/27/20,PG,113.89,2475643,1,0.014827
5/28/20,PG,116.06,2475643,1,-0.002108
5/29/20,PG,115.92,2475643,1,0.004812
6/1/20,PG,117.25,2475643,1,0.003751
6/2/20,PG,118.06,2475643,1,0.008211
6/3/20,PG,118.53,2475643,1,0.013649
6/4/20,PG,116.05,2475643,1,-0.003369
6/5/20,PG,118.33,2475643,1,0.026212
6/8/20,PG,119.05,2475643,1,0.012042
6/9/20,PG,118.34,2475643,1,-0.007799
6/10/20,PG,119.23,2475643,1,-0.005313
6/11/20,PG,116.26,2475643,1,-0.058944
6/12/20,PG,115.62,2475643,1,0.013061
6/15/20,PG,116.69,2475643,1,0.008312
6/16/20,PG,118.13,2475643,1,0.018962
6/17/20,PG,117.93,2475643,1,-0.0036
6/18/20,PG,119.28,2475643,1,0.000594
6/19/20,PG,118.92,2475643,1,-0.005649
6/22/20,PG,117.75,2475643,1,0.006495
6/23/20,PG,117.73,2475643,1,0.004307
6/24/20,PG,116.42,2475643,1,-0.025855
6/25/20,PG,117.89,2475643,1,0.010959
6/26/20,PG,115.23,2475643,1,-0.024227
6/29/20,PG,117.66,2475643,1,0.014686
6/30/20,PG,119.57,2475643,1,0.01541
7/1/20,PG,119.98,2475643,1,0.005022
7/2/20,PG,120.88,2475643,1,0.004541
7/6/20,PG,121.63,2475643,1,0.015882
7/7/20,PG,122.22,2475643,1,-0.010819
7/8/20,PG,122.89,2475643,1,0.007828
7/9/20,PG,122.48,2475643,1,-0.005644
7/10/20,PG,123.89,2475643,1,0.010466
7/13/20,PG,124.05,2475643,1,-0.009363
7/14/20,PG,125.09,2475643,1,0.013406
7/15/20,PG,124.5,2475643,1,0.009082
7/16/20,PG,124.76,2475643,1,-0.003406
7/17/20,PG,125.63,2475643,1,0.002849
7/20/20,PG,125.24,2475643,1,0.008407
7/21/20,PG,125.07,2475643,1,0.001679
7/22/20,PG,126.14,2475643,1,0.005747
7/23/20,PG,126.16,2475643,1,-0.01232
7/24/20,PG,125.96,2475643,1,-0.00619
7/27/20,PG,126.32,2475643,1,0.007395
7/28/20,PG,127.88,2475643,1,-0.006473
7/29/20,PG,128.31,2475643,1,0.012428
7/30/20,PG,131.42,2475643,1,-0.00375
7/31/20,PG,131.12,2479700,1,0.00767
8/3/20,PG,131.28999,2479700,1,0.007181
8/4/20,PG,133.78999,2479700,1,0.003612
8/5/20,PG,133.44,2479700,1,0.00643
8/6/20,PG,132.71001,2479700,1,0.006428
8/7/20,PG,133.55,2479700,1,0.000633
8/10/20,PG,134.10001,2479700,1,0.002742
8/11/20,PG,133.23,2479700,1,-0.007969
8/12/20,PG,135.46001,2479700,1,0.013997
