DATE,TICKER,COMNAM,PRIMEXCH,PRC,VOL,SHROUT,CFACPR,CFACSHR,SPRTRN
20180928,V,VISA INC,N,150.09,6035936,1776658,1,1,-0.000007
20181001,V,VISA INC,N,150.78999,9802691,1776658,1,1,0.003641
20181002,V,VISA INC,N,149.67,8047706,1776658,1,1,-0.000397
20181003,V,VISA INC,N,149.37,7521101,1776658,1,1,0.000711
20181004,V,VISA INC,N,146.75999,9208887,1776658,1,1,-0.00817
20181005,V,VISA INC,N,145.36,7085718,1776658,1,1,-0.005528
20181008,V,VISA INC,N,141.89,11637314,1776658,1,1,-0.000395
20181009,V,VISA INC,N,142.31,10798415,1776658,1,1,-0.001418
20181010,V,VISA INC,N,135.52,15450086,1776658,1,1,-0.032864
20181011,V,VISA INC,N,133.73,15657170,1776658,1,1,-0.020573
20181012,V,VISA INC,N,140.06,12993257,1776658,1,1,0.014206
20181015,V,VISA INC,N,137.23,7953001,1776658,1,1,-0.005905
20181016,V,VISA INC,N,141.74001,11059518,1776658,1,1,0.021496
20181017,V,VISA INC,N,142.45,9170646,1776658,1,1,-0.000253
20181018,V,VISA INC,N,139.28999,10222553,1776658,1,1,-0.014392
20181019,V,VISA INC,N,140.08,8696873,1776658,1,1,-0.000361
20181022,V,VISA INC,N,140.64,6099509,1776658,1,1,-0.004299
20181023,V,VISA INC,N,139.12,10736088,1776658,1,1,-0.005512
20181024,V,VISA INC,N,134.25999,13849587,1776658,1,1,-0.030864
20181025,V,VISA INC,N,140.52,14985905,1776658,1,1,0.018625
20181026,V,VISA INC,N,137.74001,12034937,1776658,1,1,-0.017327
20181029,V,VISA INC,N,134.33,12768190,1776658,1,1,-0.00656
20181030,V,VISA INC,N,132.75999,15107555,1776658,1,1,0.015667
20181031,V,VISA INC,N,137.85001,13205283,1776658,1,1,0.010851
20181101,V,VISA INC,N,140.83,16023953,1776658,1,1,0.010558
20181102,V,VISA INC,N,139.78,17063121,1776658,1,1,-0.006317
20181105,V,VISA INC,N,139.8,6280034,1776658,1,1,0.0056
20181106,V,VISA INC,N,140.78999,4732703,1776658,1,1,0.006259
20181107,V,VISA INC,N,144.78,20502121,1776658,1,1,0.021209
20181108,V,VISA INC,N,145.23,5927356,1776658,1,1,-0.002509
