PERMNO,date,TICKER,PRIMEXCH,HSICCD,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
10107,20161230,MSFT,Q,7370,62.14,5135897,0.031198,7730000,1,1
10107,20170131,MSFT,Q,7370,64.65,4944958,0.040393,7727530,1,1
10107,20170228,MSFT,Q,7370,63.98,4409458,-0.004331,7727530,1,1
10107,20170331,MSFT,Q,7370,65.86,4892383,0.029384,7723000,1,1
10107,20170428,MSFT,Q,7370,68.46,4333254,0.039478,7720515,1,1
10107,20170531,MSFT,Q,7370,69.84,5174170,0.025854,7720515,1,1
10107,20170630,MSFT,Q,7370,68.93,6305762,-0.01303,7708000,1,1
10107,20170731,MSFT,Q,7370,72.7,4701882,0.054693,7702244,1,1
10107,20170831,MSFT,Q,7370,74.77,4210923,0.033838,7702244,1,1
10107,20170929,MSFT,Q,7370,74.49,3766723,-0.003745,7715433,1,1
10107,20171031,MSFT,Q,7370,83.18,4511873,0.11666,7714590,1,1
10107,20171130,MSFT,Q,7370,84.17,4220760,0.016951,7714590,1,1
10107,20171229,MSFT,Q,7370,85.54,4663253,0.016277,7705000,1,1
12490,20130131,IBM,N,7379,203.07001,876567,0.060141,1129932,1,1
12490,20130228,IBM,N,7379,200.83,641493,-0.006845,1114510,1,1
12490,20130328,IBM,N,7379,213.3,760406,0.062092,1114510,1,1
12490,20130430,IBM,N,7379,202.53999,1086848,-0.050445,1108794,1,1
12490,20130531,IBM,N,7379,208.02,907002,0.031747,1108794,1,1
12490,20130628,IBM,N,7379,191.11,802326,-0.08129,1108794,1,1
12490,20130731,IBM,N,7379,195.03999,881018,0.020564,1095426,1,1
12490,20130830,IBM,N,7379,182.27,731040,-0.060603,1095426,1,1
12490,20130930,IBM,N,7379,185.17999,715091,0.015965,1095426,1,1
12490,20131031,IBM,N,7379,179.21001,1310030,-0.032239,1085854,1,1
12490,20131129,IBM,N,7379,179.67999,1010072,0.007924,1085854,1,1
12490,20131231,IBM,N,7379,187.57001,980156,0.043911,1085854,1,1
12490,20140131,IBM,N,7379,176.67999,1236492,-0.058058,1085854,1,1
12490,20140228,IBM,N,7379,185.17,871128,0.05343,1041341,1,1
12490,20140331,IBM,N,7379,192.49001,1189948,0.039531,1041341,1,1
12490,20140430,IBM,N,7379,196.47,1184846,0.020676,1012183,1,1
12490,20140530,IBM,N,7379,184.36,700404,-0.056039,1012183,1,1
12490,20140630,IBM,N,7379,181.27,785363,-0.016761,1012183,1,1
12490,20140731,IBM,N,7379,191.67,976239,0.057373,997592,1,1
12490,20140829,IBM,N,7379,192.3,534642,0.009026,997592,1,1
12490,20140930,IBM,N,7379,189.83,642128,-0.012845,997592,1,1
12490,20141031,IBM,N,7379,164.39999,1462861,-0.133962,989660,1,1
12490,20141128,IBM,N,7379,162.17,800230,-0.006873,989660,1,1
12490,20141231,IBM,N,7379,160.44,1016188,-0.010668,989660,1,1
12490,20150130,IBM,N,7379,153.31,1174200,-0.04444,991000,1,1
